"","query","superkingdom","kingdom","subkingdom","phylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"Taxa00482","Taxa00482","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00483","Taxa00483","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00484","Taxa00484","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Lophoceraomyia","Culex infantulus",""
"Taxa00485","Taxa00485","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00486","Taxa00486","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00487","Taxa00487","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00488","Taxa00488","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00489","Taxa00489","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00490","Taxa00490","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00491","Taxa00491","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00492","Taxa00492","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00493","Taxa00493","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00494","Taxa00494","Eukaryota","Metazoa","","Mollusca","","Gastropoda","Heterobranchia","","Eupulmonata","Stylommatophora","","","","Limacoidea","Limacidae","","","Ambigolimax","","Ambigolimax valentianus",""
"Taxa00495","Taxa00495","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00496","Taxa00496","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00497","Taxa00497","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00498","Taxa00498","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00499","Taxa00499","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","","Chlamydomonas reinhardtii",""
"Taxa00500","Taxa00500","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00501","Taxa00501","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00502","Taxa00502","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00503","Taxa00503","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI05",""
"Taxa00504","Taxa00504","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00505","Taxa00505","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00506","Taxa00506","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00507","Taxa00507","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00508","Taxa00508","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00509","Taxa00509","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa00510","Taxa00510","Eukaryota","Metazoa","","Rotifera","","Bdelloidea","","","","","","","","","","","","","","",""
"Taxa00511","Taxa00511","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00512","Taxa00512","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00513","Taxa00513","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00514","Taxa00514","Eukaryota","Metazoa","","Rotifera","","Bdelloidea","","","","","","","","","","","","","","",""
"Taxa00515","Taxa00515","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00516","Taxa00516","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00517","Taxa00517","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00518","Taxa00518","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Eriophyoidea","Eriophyidae","Eriophyinae","Aceriini","Aceria","","",""
"Taxa00519","Taxa00519","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00520","Taxa00520","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Tanytarsini","Tanytarsus","","Tanytarsus oyamai",""
"Taxa00521","Taxa00521","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00522","Taxa00522","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00523","Taxa00523","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00524","Taxa00524","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00525","Taxa00525","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00526","Taxa00526","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00527","Taxa00527","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00528","Taxa00528","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00529","Taxa00529","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00530","Taxa00530","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00531","Taxa00531","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00532","Taxa00532","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00533","Taxa00533","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00534","Taxa00534","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00535","Taxa00535","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum","Polypedilum kyotoense",""
"Taxa00536","Taxa00536","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00537","Taxa00537","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00538","Taxa00538","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00539","Taxa00539","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00540","Taxa00540","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Eriophyoidea","","","","","","",""
"Taxa00541","Taxa00541","Eukaryota","Metazoa","","Arthropoda","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Eriophyoidea","Eriophyidae","Eriophyinae","Aceriini","Aceria","","Aceria tosichella",""
"Taxa00542","Taxa00542","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00543","Taxa00543","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Orthoptera","Caelifera","Acrididea","","Acridoidea","Acrididae","Oedipodinae","","Aiolopus","","Aiolopus thalassinus","Aiolopus thalassinus tamulus"
"Taxa00544","Taxa00544","Eukaryota","","","","","","","","","Kinetoplastida","","","","","Bodonidae","","","Bodo","","Bodo saltans",""
"Taxa00545","Taxa00545","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","","",""
"Taxa00546","Taxa00546","Eukaryota","","","","","","","","","","","","","","Vexilliferidae","","","","","",""
"Taxa00547","Taxa00547","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00548","Taxa00548","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Caraboidea","Carabidae","","","","","",""
"Taxa00549","Taxa00549","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00550","Taxa00550","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00551","Taxa00551","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00552","Taxa00552","","","","","","","","","","","","","","","","","","","","",""
"Taxa00553","Taxa00553","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00554","Taxa00554","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00555","Taxa00555","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Culicini","Culex","Lophoceraomyia","Culex infantulus",""
"Taxa00556","Taxa00556","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00557","Taxa00557","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00558","Taxa00558","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00559","Taxa00559","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","","","","","","","","","","",""
"Taxa00560","Taxa00560","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00561","Taxa00561","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00562","Taxa00562","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00563","Taxa00563","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00564","Taxa00564","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00565","Taxa00565","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00566","Taxa00566","Eukaryota","","","","","Oomycetes","","","","Pythiales","","","","","Pythiaceae","","","Pythium","","",""
"Taxa00567","Taxa00567","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00568","Taxa00568","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00569","Taxa00569","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00570","Taxa00570","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Scarabaeiformia","","Scarabaeoidea","Scarabaeidae","Rutelinae","","Exomala","","",""
"Taxa00571","Taxa00571","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00572","Taxa00572","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00573","Taxa00573","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00574","Taxa00574","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00575","Taxa00575","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00576","Taxa00576","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI05",""
"Taxa00577","Taxa00577","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00578","Taxa00578","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00579","Taxa00579","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","","","","","","",""
"Taxa00580","Taxa00580","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00581","Taxa00581","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00582","Taxa00582","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00583","Taxa00583","Eukaryota","Metazoa","","Arthropoda","","Collembola","","","","","","","","","","","","","","",""
"Taxa00584","Taxa00584","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00585","Taxa00585","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Hymenoptera","Apocrita","Aculeata","","Formicoidea","Formicidae","Formicinae","Lasiini","Lasius","Lasius","",""
"Taxa00586","Taxa00586","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","","","","",""
"Taxa00587","Taxa00587","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00588","Taxa00588","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00589","Taxa00589","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI03",""
"Taxa00590","Taxa00590","Eukaryota","","","","","Oomycetes","","","","","","","","","","","","","","",""
"Taxa00591","Taxa00591","Eukaryota","Metazoa","","Mollusca","","Gastropoda","Heterobranchia","","Eupulmonata","Stylommatophora","","","","Limacoidea","Limacidae","","","Ambigolimax","","Ambigolimax valentianus",""
"Taxa00592","Taxa00592","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
"Taxa00593","Taxa00593","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI04",""
"Taxa00594","Taxa00594","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","",""
"Taxa00595","Taxa00595","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00596","Taxa00596","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
